country_org,country_dest,trade_flow2014
AUS,AUS,2437913.454704733
AUS,AUT,197.2133051877556
AUS,BEL,672.2610281559607
AUS,BGR,192.0597734202281
AUS,BRA,1952.17615161687
AUS,CAN,1806.540417122868
AUS,CHE,1086.12311275603
AUS,CHN,76645.19546544197
AUS,CZE,143.1068695719774
AUS,DEU,1601.52637642485
AUS,DNK,328.8599064892611
AUS,ESP,673.8323765321875
AUS,EST,9.37666907384421
AUS,FIN,107.7817174616961
AUS,FRA,1271.06215724881
AUS,GBR,3736.422825928714
AUS,GRC,41.40585269628734
AUS,HRV,7.140083377282445
AUS,HUN,25.0009263817045
AUS,IDN,6360.604627224619
AUS,IND,7844.125812794683
AUS,IRL,230.4317210140172
AUS,ITA,886.5318418103624
AUS,JPN,46272.29891172772
AUS,KOR,16057.83867833868
AUS,LTU,7.616626797579103
AUS,LUX,66.25540536437913
AUS,LVA,6.988424440180488
AUS,MEX,475.3189502655619
AUS,NLD,941.4057669952393
AUS,NOR,205.0021312380036
AUS,POL,475.3377379449598
AUS,PRT,21.78814039297337
AUS,ROU,72.80439302492971
AUS,ROW,93835.79251627297
AUS,RUS,360.0379454692765
AUS,SVK,46.65683717503768
AUS,SVN,33.58102966540746
AUS,SWE,388.7290927297306
AUS,TUR,677.0686473653334
AUS,TWN,11409.21336673551
AUS,USA,10161.41775123625
AUT,AUS,1228.689411459165
AUT,AUT,598635.3417117051
AUT,BEL,2702.29473420575
AUT,BGR,1035.1409116057
AUT,BRA,1373.751377003725
AUT,CAN,1906.558861671872
AUT,CHE,10359.91504948608
AUT,CHN,6561.155007422146
AUT,CZE,5736.820333010059
AUT,DEU,61746.13170370778
AUT,DNK,1015.74219080162
AUT,ESP,2903.513600814478
AUT,EST,144.725954686896
AUT,FIN,864.978886756041
AUT,FRA,7995.010366063089
AUT,GBR,5452.467408817233
AUT,GRC,763.7434549601282
AUT,HRV,2229.173535862858
AUT,HUN,6830.6503639605
AUT,IDN,328.1199397078627
AUT,IND,942.8671769241157
AUT,IRL,577.4874314892844
AUT,ITA,13121.1235577413
AUT,JPN,2064.428249329404
AUT,KOR,1523.042332658776
AUT,LTU,236.8157037093979
AUT,LUX,452.6337451464929
AUT,LVA,214.6781202523019
AUT,MEX,945.4195119545543
AUT,NLD,2858.439958179263
AUT,NOR,846.1374032104063
AUT,POL,5138.198742361104
AUT,PRT,417.2759090652461
AUT,ROU,2612.454673037337
AUT,ROW,32416.06004968329
AUT,RUS,4021.02601501844
AUT,SVK,3013.125488677065
AUT,SVN,2777.160482638046
AUT,SWE,2812.276800256129
AUT,TUR,2288.43639316911
AUT,TWN,549.1810989178822
AUT,USA,10051.6008836883
BEL,AUS,3351.765177685123
BEL,AUT,3524.701577295589
BEL,BEL,727924.6879645183
BEL,BGR,618.7184402364512
BEL,BRA,2478.874515305387
BEL,CAN,1862.491312786826
BEL,CHE,8250.396893387207
BEL,CHN,9184.589279055783
BEL,CZE,3089.827059442765
BEL,DEU,62505.22547219611
BEL,DNK,3192.942595046773
BEL,ESP,8901.973604440131
BEL,EST,259.8976198813069
BEL,FIN,2268.656766641152
BEL,FRA,47249.94857891105
BEL,GBR,27883.39030374897
BEL,GRC,1752.840994566158
BEL,HRV,386.9732120214001
BEL,HUN,1942.413724521086
BEL,IDN,505.2085329932706
BEL,IND,1976.291880897149
BEL,IRL,2508.115893449876
BEL,ITA,14584.49279593711
BEL,JPN,2247.170307436073
BEL,KOR,1509.913841739365
BEL,LTU,720.4593022795011
BEL,LUX,8401.210896848273
BEL,LVA,226.1848846394249
BEL,MEX,993.7681744622207
BEL,NLD,36588.58984962989
BEL,NOR,2486.806934576904
BEL,POL,5693.83411126683
BEL,PRT,1869.918707902708
BEL,ROU,1179.415893506145
BEL,ROW,69992.96009845023
BEL,RUS,4835.965202906779
BEL,SVK,896.4111264303048
BEL,SVN,439.3505719811826
BEL,SWE,7969.329286085559
BEL,TUR,4146.502356941834
BEL,TWN,803.3234157053708
BEL,USA,23732.95044787699
BGR,AUS,36.9122389189716
BGR,AUT,921.1322813962511
BGR,BEL,1636.120140881626
BGR,BGR,91174.20633936515
BGR,BRA,37.51371866443667
BGR,CAN,85.94858250355504
BGR,CHE,224.8009442023154
BGR,CHN,816.408046378994
BGR,CZE,420.9967828717143
BGR,DEU,2877.755688724135
BGR,DNK,186.8608516079766
BGR,ESP,532.1609875894883
BGR,EST,24.41914762052944
BGR,FIN,146.8183371744059
BGR,FRA,1104.438989215534
BGR,GBR,767.2240043201435
BGR,GRC,1527.253414801452
BGR,HRV,100.3806734020246
BGR,HUN,384.3980776157704
BGR,IDN,41.4915876032903
BGR,IND,53.90926848746121
BGR,IRL,95.07676469000245
BGR,ITA,2345.981073800222
BGR,JPN,57.72834742727788
BGR,KOR,114.7378557933067
BGR,LTU,54.69331763450825
BGR,LUX,36.38374502824982
BGR,LVA,34.5957918572101
BGR,MEX,42.28909234173925
BGR,NLD,487.6784282588046
BGR,NOR,59.9929141762902
BGR,POL,544.8160006066969
BGR,PRT,127.4965082812896
BGR,ROU,1772.440332381049
BGR,ROW,9487.035772365694
BGR,RUS,672.9025437641595
BGR,SVK,197.7171316585463
BGR,SVN,182.0721586881216
BGR,SWE,231.0711802989349
BGR,TUR,2576.941815537837
BGR,TWN,25.48519033083555
BGR,USA,624.2207037903069
BRA,AUS,1164.054033115766
BRA,AUT,340.8781098033738
BRA,BEL,3121.464681924717
BRA,BGR,195.2435334674796
BRA,BRA,3833238.894861182
BRA,CAN,3495.071074335268
BRA,CHE,560.5930018133554
